"filename", "language", "C#", "XML", "comment", "blank", "total"
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\PlayFabApiSettings.cs", "C#", 80, 0, 12, 16, 108
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\PlayFabAuthenticationContext.cs", "C#", 62, 0, 10, 6, 78
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\PlayFabDataGatherer.cs", "C#", 104, 0, 20, 15, 139
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\PlayFabEvents.cs", "C#", 2337, 0, 4, 586, 2927
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\PlayFabLogger.cs", "C#", 197, 0, 48, 26, 271
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\PlayFabSettings.cs", "C#", 170, 0, 17, 20, 207
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\PluginContract.cs", "C#", 8, 0, 0, 0, 8
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\PluginContractKey.cs", "C#", 20, 0, 0, 4, 24
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Public\PluginManager.cs", "C#", 77, 0, 18, 16, 111
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\link.xml", "XML", 0, 21, 0, 1, 22
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Enemies\basic_gob.cs", "C#", 39, 0, 7, 10, 56
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Inventory\IItemContainer.cs", "C#", 8, 0, 0, 2, 10
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Inventory\build_button.cs", "C#", 113, 0, 11, 51, 175
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Inventory\drop_down.cs", "C#", 20, 0, 3, 6, 29
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Inventory\inventory.cs", "C#", 72, 0, 2, 10, 84
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Inventory\item_drag.cs", "C#", 29, 0, 0, 6, 35
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Inventory\item_hotbar.cs", "C#", 38, 0, 5, 10, 53
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Inventory\item_script.cs", "C#", 66, 0, 5, 21, 92
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Main Menu\MainMenu.cs", "C#", 14, 0, 0, 5, 19
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Player\mouse_touch_controller.cs", "C#", 92, 0, 5, 24, 121
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Player\player.cs", "C#", 11, 0, 0, 2, 13
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\Scripts\Player\player_death.cs", "C#", 41, 0, 2, 10, 53
